input|output
  I'm bored, and I'm not having any fun.|"  What? Not having any fun? But last night I read you the story of ""Baby Whatsit and the Bottle Prince."""
  That wasn't fun. That was lame.| Other princesses, do you feel the same way?
 Other| Well, here, watch. I'll show you. We'll have some fun. Fun's my middle name.
 Other| Here, now, Wildberry Princess. I need you to play this. 
  I don't know how.| Well, come here, I'll teach you. Put your hand through the bars, atta princess, and uh... 
  I don't think I can.| Just play it like I showed you.
  Leave her alone, Ice King!| PLAY IT OR I'LL SQUISH YOU INTO JUICE!!!
  Oh dear! | Yeah, keep playing it. Now everyone pick up an instrument and play it. Oh, this is going to be so much fun!
 Sweet| Oh, that was fun!
  Ah! It was fun! Hey, you should get some more fun stuff.| You're right! Good idea, Finn.
"  ""Good idea,"" indeed."| I hope they think I'm fun. 
"  I'm gonna say something fun like ""Oh yeah, I'm having a fun time! Oh my gosh, havin' the best time I've ever had in my entire life!"""| Make way for the fun tray! Whoa, what's happening?
 Other| What is this?
  We're having fun! Whoopee!| Because I left the room?
  Because they like it here. Because they like you. Because you're a really fun guy!| I don't get this.
  Wanna dance with us, Ice King? Come on!| Me? You want to dance with me?
  Oh yeah! Whoo! Woohoo!|  Wow!  Yes! Yes! Whoopee!
 Other| Wait, no!  Don't leave! I'll kill you all!  Why are you doing this? Everyone was finally warming up to me.
  But you gotta get it in you're head, man! Putting princesses in jail is wrong!| Bah! Finn, you just ruined my chances with 5 or 6 potential wives! For that you will...  Ohh! Oh, my beard. 
 Other| Why do people not like me? Is it because I'm a magic user or is my beard too shaggy?  I try so hard to be a good husband for girls. What's wrong with me?
  Hoo. You're a sociopath.| Who are you?  I know. You're probably a--a big nerd! Why don't you try being cool like me?  Star dust is so ticklish!  What happened? Princesses? Ohhh...
  Hey, fart-face!!| Huh?
  Unhand Princess Bubblegum!!| Foolish interlopers! Zah! 
   Whoa!  Ah!| Ee hee hee hee—OOH!  MY EYESIGHT!
  Hey, Ice King! I bet you'll never kiss the princess!| I will kiss her! I will!  Hold still.  Mwah!
   You just kissed Jake's butt!| What?!  EEEEGH!!   The hour is yours, but the day shall be mine! Just like you, Princess—MINE!
   She hates me now. I was totally wrong about Ricardio.| No, Finn!  You were not wrong. He is evil! 
  I don't care! I only care about Ricardio!| But my enervated condition has everything to do with him.  I was trying to cast a spell that would give me total control of Princess Bubblegum's heart! ...But I messed it all up... and lost control of mine.  He planned to rip out Princess Bubblegum's heart... to make it his bride.  Without my heart, I grew weak.  But I made my way to the Candy Kingdom to look for him. In an alleyway, I begged him to  return to me and leave the princess alone.  But he threw me in the dumpster and left me for dead.  Stop Ricardio!
  And my fist?!|  Stop! Stop it! That's my heart, you piece of—
  I don't wanna watch an old man die on Princess Bubblegum's carpet, man.| Oh, yeah...
  Wait! Wait! No!| Come to daddy...
  Noooooooooo!| Yeah, there you go...  Like that? Huh?
   Seeee you guys laterrrr...|  I feel wonderful! Hahaha! And now that I've saved the Princess, she'll marry me and live in my dungeon every day!
  Yeah, no, I won't!| Yes you WILL!  Well... maybe not today... or tomorrow... but another day! Another—
  Hmm... I can't quite make it out. | Eee!
  The Ice King?!| Think this is the right address,  mmm is this, is this....
  Aww.| You can not defeat me, child!
  Whoo, hoo hoo!|  Now I can kill you! Oh wait, wait, wait. I am so stupid! Silly Billy! I came by to tell you the good news!
  What's the good news?| I'm getting married... to someone who wants to marry me! 
 Other| My betrothed is right over there!  Hi, honey!
  Hey, cool guy.| I'm a lucky guy—I didn't even have to kidnap this one! She fell in love with me the moment I slipped on her engagement ring! 
   Bye-bye!|" The lady penguins are throwing her one of those ""bachelorette"" parties."
  Hmm... if you get married, what about capturing princesses?| Oh well, no more capturing pretty princesses for this Ice King! 
  Ohhh...  well, fare thee well, Ice King!| Hmm?
  We totally support your decision to stop capturing princesses!  I'm happy for him. |"  Sure wish someone would throw me a bachelorette party—oop, I mean, ""man-lorette"" party."
  But we hate you.| If you won't throw me man-lorette party, then I'll never have my last hurrah before buckling down with that battle axe! It'll drive me back to a life of stealing hot princesses! Is that what you want?!
   Shhh, I know. I know that you can't have that. Don't worry.  Alright, let's go party, Ice King.| 
  | 
  | Fah!  Hahahaha! Now I'm gonna go get married! Hehehehe! ♫I'm gonna get married!♪
  No more stealing princesses!| Yeah--wait. No more s-stealing princesses? Wow.
   What?!| I didn't realize I'd have to give up stealing the ladies.
  But you said you were fine with it!| I know what I said, but, y'know, sometimes you say things and then you don't really mean them.
  What? Are you serious?!| I'm just not sure I wanna get married in such a hurry. What if she's just after my  Demonic Wishing Eye and Ghost pouch? 
  We just took you out partying so that you could feel better about getting hitched!| Maybe I'll just go back to capturing lots of girls. It's what I feel comfortable doing, y'know? Being free, wind at my back, lots of girls, kidnapping 'em.
  Watch.  Let big brother handle this.  Hey, Ice King? Don't be nervous. Marriage is the most beautiful thing that could ever happen to a jerk like you.| Really? Why?
  Not now!  Why, why, why, why, why?| My mind is made up—80% sure. No marriage.
  Well, uh... don't you wanna grow old with somebody? Right?  Just like these old swans.| Bleh, those stinky old swans. Huh?
  What?!| Ohhhh, now I get what you guys are trying to tell me! Marriage is a thing that allows me to capture a princess forever and let her live inside of me!  Marriage is the most beautiful thing in the world!
  Eh, let's cross that bridge when we get to it. Look how happy he is.| The wedding? Back on—100%! 
  | Finn, Jake, you made it!  Come on up here. I'm almost finished tying up my bride.
  Weird—and your bride is into that?| This is a traditional wedding ritual for good luck in the Ice Kingdom. You see, she'll be hoisted up and then lowered down—and when she touches my beard from above, she will be my queen! 
  Well...  cool, man. I'm glad y'all are happy... being crazy together.| Thank you! Excuse me as we finish preparing for the nuptials. 2, 4, 8, 16, 20, uh—
  32.| Yes—32, 64, one hundred and—eh.
  That's what cursed her! Don't worry, princess. I'll remove this ring and save your life. | No! She's my love boat! 
  No, man. You cursed her. She hates you!| Okay, that's your opinion! 
  Wait a minute!  So you knew she was cursed all along, which means you knew she wasn't trying to steal your Demonic Eye Junk or whatever, and you knew you had total control of her!| Yeah, yes, that's right.
  So then why did you make us go through all that junk about why marriage is worth stuff?!| Oh, I don't know... I'm complicated—and spontaneous!  That's probably why she wants to marry me!
  She wants to marry you because you brainwashed her!| Silence! 
  Whoa, wait!  Aw, man!| It's time for the lowering ceremony! Hoist her up!
 Other| Hehehehe! Commence the lowering!
 Other| Yes, nothing can stop me now.
  Hyah!  What is wrong with you, man?! | Strangling the groom's nose at a wedding?  What's wrong with you?! You're the one that there's something wrong with!
   Ehh.|  I think you dropped something.  Catch! 
  Oh, good.| Now, let's try that again.  Lower her!
   You lousy, butt-faced pig! I hate you!| Here she comes. Yes, touch my beard, deary. Yes, that's right. Almost there...
  | Oh! I'm married, right, snowman?
  It's official! You done married a dog, dude!| What? What's that supposed to—  Oh no.
  Well, I wouldn't say everything.|  Come on, guys. Help me celebrate my un-marriage.
   Keep your crummy soul!| Gunter! Who told you you could fly?!
   Wenk.| Huh? No one sucks the life from my penguins except me! ...And maybe polar bears, because that's just nature, Gunter.  You darest encroach upon my domain?!  You've raised my frosty dander! And for that, I shall—  AAAAAOOOOOHHH!! I've soiled my tunic... completely by choice! 
  We rescued Wildberry Princess from the Ice King.| I just wanna be happy!
  The Ice King?!| I should go.
  You were spying on us?!| That's none of your business!
  It's none of your business how nude I sleep, Ice King! Nnnnone of your business!| Gentlemen, I'll see you later.
  Tell us why you were spying!| NO!
  Ow! Ouch! Ow! Hey! Hey!| Is that all the ice ya have?
  Yeeesss!| Well, you should really have more.
  We don't need any more.| What if you had guests?
  Yeah and make it quick 'cause we're both really sleepy.| Ok, ok, I'll tell you! I was watching you... to learn how to be happy.
  Huh?| It's true! I would like to be happy like you guys. But, I have no idea how.
  So, you dressed up like a horse?| Have pity on me.  I've been so sad and miserable, I cry all the time. But, whenever I see you two, you always look so happy.
  So yes, I've decided to spy on you, dressed as a horse. | But, I guess my plan failed. All I observed was you two arguing over...how to get rid of me.
 Other| Hey, are you sleeping?  Is this it? Sleeping? Could it be that all I need is a good night's rest? 
 Other| Ahh... I'm... still not happy.
   Hi!| Beautiful princess.
  Excuse me for approaching you, sir. You just seem so approachable. |  That's funny, usually my looks put people off.
  |  Is someone paying you to do this?
   Tell me about yourself.| Well, there's not much to tell, really. I'm an ice king.
  Oooh, a nice King.| Ha haha, no no, dear you misheard me. I'm not a nice king, I'm a—  A really nice king! And I'm single!
  Yoo hoo! Nice King, Nice King over here!| Ladies, I'll have time to meet you individually later, please just, just stop squirming.
  But this looks like a prison.| Prison? Don't be ridiculous! It's a... waiting room! Stop squirming.
   Nice King! Yeeeaah! | Finn and Jake! You'll never take me alive! 
  You're the nice king, right?|  Oh yeah, I keep forgetting that.
  Well, we will honor and serve you.| Serve me?
  Yeah! We wanna be your nice knights.|  Sounds... nice...
  | With my rod of niceness, I dub thee two my Nice Knights. 
  Nice King!|  Please! I'm trying to tell my Nice Knights something! 
 Other|  Come here.  The main enemy to the Nice King right now is the disorganization of his love life.
  W-well, what do you mean?| The ugly ones are all mixed up with the other ones! I need you to catalog them... or something.
  Tah ha, but we punch monsters.| After I choose my bride, then you can go punch the monsters.
  Can't argue with that!|  Hey, Nice Knights, Turtle Princess is about to walk out that door, I told her that I like her a lot, but I really don't like her all that much, could you guys break it off for me?
  Nice King, may I speak with you for a moment?| Princesses, I must speak with my knight in private. Go on back into your cage.
  Bye, Nice King. | What's up, knight?
  I don't like treating princesses this way, I don't wanna... I don't wanna do this anymore.|  Your loyalty is in question?
  Oh, it's not that. It's just, princesses are suppose to be treated with niceness.|  Are you implying that I'm not the nice king!
  Hey, what's wrong with you!| 
  Hey, I'm here.| Ugh, Finn, get rid of her.
  What?! No, man!| She's too loud and lumpy, I like smooth princesses... smoo-o-o-oth. 
  I can't punch a princess!| Gaah! Finn, just punch her! Let me see what she looks like... smoo-o-o-oth.
  Princess no!| Wait a minute Nice Knight, let's see what she can do. 
  There, how's that? Better? | Meh, no, I-I don't like her.
  King, I'm sorry, I just can't do this anymore| Hey! You're on thin ice Nice Knight! 
  Huh?|  The jig is up!
  What jig?| Ah, eh, heh heh, my jig is up. Up high! It's a highland jig.  And I have a new assignment for you, one with more knight related stuff, very important.
  Oh, wow, awesome! What is it?| The Ice King stole my razor, sneak into his trap-filled ice castle and retrieve it.  And don't look through the shoebox he keeps behind the laundry bag in the closet.
  Wha?!| Those are my orders!
   Get ready, Ice King, for battle!|  And once I have my razor, I can select my elite army of wives and take over the world!
   Nice King!| Did you retrieve my stole razor?!
  Yeah and also this! | My beard! I-I-I mean what is that?!
  |  Wait, I can't fly!
  | N-no, wait!
  Yaaaaaaa!  Now fly, ya liar! | Ugh!  Oh, eh?  Ladies, ladies, heh heh, I can shave it off again, a-and when you get fat, I'll grow it back! Eh! 
 Finn, I think I'm gonna take off my booties. I can't flip these pages.|Gunter, let's go! I've got the overnight bag.
  A secret hidden room full of ninja stuff!| Oh, great—a line.  Excuse me. Excuse me. Pardon me.
 Uhh, I-I think you were actually ahead of me.| You know I was.   Counter maid, I demand medical attentions,  preferably those of a princessy type.
 And are you checking in as a patient or a cadaver?|Hey! I'm as healthy as ten old men!
 Other|Ah! Oh, oh, right!  My penguin—he's very, very sick. So... what time does your shift end?
 Jake! Show me how to do that.|What's taking that doctor so long? Gunter, make more noise!
 WUAH! WUAH!|Yeah, alright. Don't oversell it, drama queen.
 Dun, dun, dunnn. Pardon the intrusion. I'm Doctor Princess.|Yes, well, uh...  Come to Ice King, Princess.
  Don't worry, sir. I specialize in treating little tuxedo people.|Just give it to me straight, doc. Am I gonna have to pay for this?
 Oh, my!|What can you do for him, Doctor Princess?  Without Gunter, I'll be all alone. You see, I'm a widower.
 Oh, I'm sorry. How did your wife die? |Oh, what? Is that what that means? 
 Whoa, Nelly! Something medical is happening!|Gunter, you're embarrassing me!
 It's the Ice King! Hide!| Okay, m'dear, this enclosure will be your new home!
 Thin ice, thin ice, thin ice! |...but once you get used to the smell of penguin manure, it's almost tolerable.
 Ice King, hand over that princess!|Princess? What?
 Ooh, right.|What princess?
 Yeah, the one you just came back from stealin'.|Wrong-o. I was at the hospital, for it turns out Gunter here was preggers!
 Wenk.|I was just talking to the egg! It's such a cutie!
 Gunther's a woman?!|What? No!  Fuh. Anyway, get out of my house or I'll kill you, et cetera. I want to take a nap in my easy chair.  What happened to my recliner?!
 Ohh...|My skins and tubs!
 |You even violated my secret sanctum?! What is wrong with you?!
 No princess?|No! No princess!
 We messed up, Jake. We're... violators!|Yeah, what the heck?! You think you can just wreck my house and wear my collectibles?!  Hah! Who do you guys think you are?!
 We're... ninjas?|You're not ninjas! You're just a couple of jerks!
 It's true.  Ice King, we're gonna make this right.|Yeah, do it; make it right. And start by, uh... oh, take my bag over to the cage.
 Other|Oh, no, no, no! Not that! Never mind! Put that down and go clean my gym equipment.
 Doctor Princess!| Oh, heh... I have no idea how that got in there!
 I'll field that one.  The Ice King abducted me while I was distracted by the horrifying beauty of birth.|Yes, Gunter's ailment was the perfect cover for stealing a princess, M.D.
" I'm not even a real princess. ""Princess"" is just a surname. "|Enough! You may have uncovered my princess-smuggling scheme, but you'll never leave this place alive!
  A couple of ninjas like me and Finn can only be defeated by another ninja!|Doot, doo, doooo!  Ninja!
 Oh.| Gunter! Why didn't you tell me?
   Weh-weh-wenk.|Oh, Gunter...
  What is wrong with you?!|  What's wrong with me?!  No!  Not the latch!
  Run through it, man!  We gotta get beyond Iceberg Lake before the Lich!| Oh, my! How clumsy of me!
  What the heck, Ice King?!| Hey, wait, you guys! I'm serious about Bubblegum! Look, I wrote her name all over my arms and legs! 
  Yugh!| Guys! It's not fair! She always hangs out with you, and it's not like you wanna marry her!
   Why are you following us?! | Whoa!  I told you already. I want your blessings so I can marry Princess Bubblegum!  Come on, guys, give me permission to marry her! I'll... I'll do a little dance for you!  Hmm? You like this?
  No!|  Oh, come on! If you bless our wedding, then maybe she'll really love me.
   Ice King, go away, man.| I will! When you bless our wedding!
  Let's blow this stand!|  I tried to do this right, but you've driven me to this—driven me to bad doing.
  Oh, Finn and Jake, please be okay.  Please be okay... please be okay...| Eh... stupid thing... come on... eh...
  Ice King?! Get outta here!!| I didn't want to do this, but by not blessing our wedding, Finn and Jake have forced me to kidnap you.
  That's insane!| I know! But I'll show them... I'll show them how they've hurt us!
  Ah, yeah, haha! Closing in... Gonna get you, man!  Closer, Jake!  Closer... closer...| Ah!
  PRINCESS?! NO!| Oh, no.  Oh, gross. This water stinks.
   ICE KING!!| Look! Look what you've made me do to her!
  Don't worry, Princess!| Hey, where're you guys goin'? What's goin' on?
   Shhhh...|  Yep! Holes are holes! NYEH!! 
  Oh, Finn... you did it!| We did? Hey, yeah, we did it!! Oh, you guys! This experience has brought us all so much closer together! Princess, I'm sorry for all of this. I love you, and I've decided to set you free.  Go free!!
 Other| Uh... Whoops, I've got the dropsies!
   Yes, I'm fine. I just need to rest.|  Oh, my wife! Is there anything weird about her? I can't see through these pain tears!
  She's fine. Why?| It's just that... after Princess fell into the well, I saw something strange happen. Something I still don't understand.  Ooh—AGH! Wait! Listen to me!!
  NO! Just shut your mouth, old man!|" ""Old man?"" Heh! What? I'm not old."
  Uh, yeah, you are, dude.| Old? I'm... I see. It's all making sense now. Brrrrapapo!  I'm going, Princess. I'm sorry if my skin grossed you out. Nobody wants to see this old skin, I guess.  Nobody in the world.
   JUST GET OUT OF HERE!!| Peace.
  Evil presence detected!!  Must defend!!|  Hey, Finn, are you dead or what?
   Whaaah?... Ice King? What are you doing here?| Hey. I had to keep an eye on the princess because she's being possessed by the Lich.
   You don't know that.| But I do. I saw it with my wizard eyes!  In the well, I saw something come out of the Lich and go into the princess. But I wasn't sure it was real  because when you have stanky old wizard eyes, sometimes you see things that are real, and other times it's like crazy crazy crazy in your face all the time!   All the time...  Guys, let me help you. I don't want my future wife to be... physically unattractive.
  Urrgh...  Liking her... didn't work. She's unstoppable... unless...   Ice King, I... I need you to freeze Princess Bubblegum. Will you help me?|  Are you suuuuure?
   Yes.| Great! Weeee! 
  I'll distract 'er up top, you freeze 'er legs!|  Wah!
  I'M A CAT! I'M AN AGILE CAT! JAKE! DUCK!  MEOW, ICE KING!  Thanks, bird!| Yeah! Whoopie!
  You did good, Ice King.| Oh, yeah?
  Yeah, man.| Okay. I didn't kill 'er this time. Everybody saw that, right?
  Yes... I'm afraid... there wasn't enough gum to work with, so it appears Princess Bubblegum is now...... younger.  She's 13 years old now.| Aw, dang it! Well, I'm outta here. Goodbye, everyone. 
  Show me where to start.| Huh? Who could that be? 
  I command you to make me a sandwich!| What?! No one commands the Ice King to make no sandwich!
   What about now?|  Okay.
  Ice King?! How many times have we warned you about using love potion?| That's why I'm using honey.
   Yeah, you stink so much I'm gonna ground you for a week!| What? You can't do that!
  You're grounded for two weeks!| You're grounded for two weeks!
  Oh, snaps!| Why? I didn't do anything.
  Four weeks?|  Fine. But I'm only gonna do it for a week.
  Oh, dang!|  Okay.  What's up with the peace sign?
  Awesome. | This is so unfair! They're the ones who should be grounded. Not me!  I'm so mad! I could just hit them! If only I could hit them without leaving the castle.   H...I...T...M...A...N.  Ooh! [A profile pops up. It is the Scorcher's profile. It reads
   No!| You guys, I—
  Oh, great. Now see what you did to my buddy? So help me, Ice King.| Okay, okay. Goll. 
  It's alright, buddy. We can make another. | Sheesh, this Scorcher guy's got some weird ideas about hitting.
 Other| Hey, there you are! What's that? I already signed that.  I thought I told you to hit them, not burn them alive! You big dummy! Goll! It's almost like you want to kill them! Lucky for them, I stopped the fire!  You know what happens when you're burned alive?! Your eyeballs explode! Bleh!  Hey wha—?
   Meat Man. Meat Man, I'm sorry, Meat Man, I didn't mean it, man. | Finn and Jake, I am just a dream. I was never here...
 Other| Okay, mister, you are really trying my patience. How clear can I be?! All I want you to do is hit them. On the shoulder or something.  Are you even listening? Oh, I get it.  Here's double the grease to not kill Finn and Jake.  You trying to hustle me, Scorcher? Okay, I'll play this game. How about this prized piece for your pad?   No! Okay, how about these bad boys? Night-vision x-ray goggles. For when you have a lady house-guest.  Oh, come on!  At least renegotiate the target! You can destroy my least favorite princesses.  What about Lumpy Space Princess?  Ghost Princess?  I can't even hold her with my love mitts.  Aw, geez! Uh...  Oh! A—A leg cramp! In my leg! Ow, ow, ow.  Oh, this is so embarrassing. I'll be right back!   Ow, ow, ow!  Huh. Think, baby, come on. Ah!  Alright, let's hit the hitman, right? There's gotta be a—  Ah! [A profile for 'Blastronaut' comes up. It reads
 Other| No! Come back, you wussy!  Ooh, that was weird.  Was that your friend, or something?  Look, a super model! Look, a hover-board! Look, the apocalypse! Someone got hit in the boing-loins! Hit in the boing-loins!  Boing-loins! Boing-loins. Somebody got hit in them.  Peace out! 
 Other| Freakin' butt! Butt, butt, butt!
  You're grounded!| I know, but shush!
 Other| Okay, I hired a guy to kill you by accident.
  What?!| I thought he was going to just hit you in the gut and make you spit up your lunch.  Well, I froze him in ice, but I think he's free now 'cause he's made out of fire. Or he commands fire, maybe?
  Jake, do something. He's getting close!| You alive?
  Uh, I think so.| Whew! That was close.
  What do we do?|  Ooh, got it! I'm gonna kill you guys!
  Hey, I'll kill you!| No, wait a minute, you two. I won't actually kill you. I'm just gonna lower your body temperatures so you seem dead. And after we fool that fool outside, I'll warm you up, good as new.
  Yeah, we don't trust you!| You'll thank me later.
 Other|  Stop! Time out! You don't need to do this anymore! Look! They're dead! I killed them myself!  Dead, dead, dead, dead, dead, dead! They're dead. No pulses.
 Other| So, uh, looks like, you can go home now.
 Other| Oh, yes, of course.  There. [The Scorcher burns the contract and disappears in a black vapor. He leaves a paper that reads
 What did you do to us, Ice King?|"Whoa, whoa. I didn't ""do"" anything to you, okay? C'mon, guys, I'm your friend."
 So why can't we move?|Ooh, because I froze you... with this. 
  Freezing Potion A.|I sprayed it on you while you slept.
  Wenk! Wenk!|No! Gunter, no! This one likes to break bottles, don't ya?  Tuck-ety tuck! Let's move to the living room.
 Why are you doing this, Ice King?|Why? Oh, because I love you guys. But you don't love me, do ya?
 You tried to kill us, like, four times.|I only try to kill you 'cause you're princess-blocking me all the time! Anyway, now that you're frozen, we can bond and stuff. And the sooner we do, the sooner I can spray you with this. 
  Unfreezing Potion A?|"Ah, I underlined the ""un"" so I wouldn't mix 'em up."
 Yeah, 'cause we're already friends.|We are?
 Mm-hmm.|What's my favorite color?
 Um, ooh, uh... rainbow?|You don't love me. I know a lot about you guys. Jake, you don't put ice in your drink because you have sensitive teeth.
 Wha—?|And Finn, your favorite food is meatloaf.
 How did you—?|And Jake, sometimes you don't cry because you're afraid of real emotion. It's okay. Let it out.  You don't love me—  Bad penguin!
 You lock your bottles?|Huh, in this economy?  Ah, I'm gonna go make some lemonade. 
  Come to me, Astral Beast...|I've got lemonade! You want some, Jake?
 Other|Huh? Gunter...  No, Gunter! No bottles. Look at me.
 Wenk!| What am I gonna do with you?  You're going to have to wear a leash.  This should keep you out of trouble.  Now, our first bonding activity will be walking in each other's shoes—so to speak. To better understand each other's perspectives, we're going to dress up like each other. Me first!
 Other| It's adventure time! I'll save you, Princess! Let's have babies, Princess, and let's teach them to be good babies! Oh, Princess, sure, I'll kiss you. I'm a hero. Hey Finn, don't you think it's weird there's two Finns? Finn?  Not talking? Now, I'm gonna dress like Jake. 
 Noooo! No, no, no, no, no!|Okay, okay! We'll bond in another way.
 Other|"So, I wanted to show you something telling of my soul. I take artful black and white photographs of my penguins' body parts. Photography is art; let's see some art.  Okay, first one. See how Gunter is staring into the camera? He's saying, ""Here I am. Look at me. Accept me."" Okay, second one.  This is a haunting image of a penguin's flipper. Look at how it penetrates the negative space. Oh yes, this one is very—"
 Astral Beast! Where are you? You come here NOW!  Wheee...!|...Yeah, I've thought about it a lot, and having a little gallery show might be nice. A little cheese, a little cider... could be nice, y'know?  Maybe bring a veggie plate? I think people would appreciate that.
  Key! Gunter. Gunter. Psst! Pssssst. Come here, Gunter. | This next one is very rewarding...
  Gunter! Come back.|Gunter!
  Weeenk.| You are being naughty, Gunter. You've interrupted my thing.  Now you stay right here and go to sleep.  Sleep.  Aw. So cute. Alright, back to art.
  Gunter. Gunter, wake up.  Go... get... the... key.  Consarn it, Gunter!|Okay, time for a break. Who wants lemonade?  Ooh, don't want to lose this.  Gunter! Jake! No! You're bonding without me.
 Wenk.| It's for your own good, sweetie.  Now then. 
 Wait, you're sleeping up here?!|Well...  not before our next bonding activity
 Uh, yeah, my girlfriend? Lady Rainicorn?|Ohhhhhh! Don't worry, I won't tell anyone.  Know who I have a crush on?  Princess Bubblegum.
  You don't say.|Oh, I do. I've liked her for quite some time. Feels weird to say it out loud. 
  The Astral Beast cometh.|" Who's ""hungie""? Jake, you ""hungie""?"
 I'm hungry.|Alright, fair enough. Well, how 'bout I make us some omelettes?
 That sounds pretty good, actually.|I'm gonna put my foot in it. Eating a part of me will bring us closer together.  I'll be inside of you! 
  No... you... don't!| Well, I don't want to use too much foot. It'll overpower the eggs. Take away from the omelette.  Huh? Aah!
 Other|Finn! and Jake! and a bunch of butterflies! and a sword!
 Other|What do you want from me?
 What do we wa—? We want you to unfreeze us, you lunatic!|No! We're not friends yet. You haven't eaten my omelette. 
 Friends don't eat each other, Ice King. That's not how friends work. Now unlock this bottle and unfreeze us.|Oh, alright. I don't know how you're doing this, but it is impressive.
 Other|Wait a minute... which bottle is thi—?  I think they brought me the wrong bottle. Gunter's still upstairs.  Gunter! Gunter! Gunter! Gunter!!
  You're a contestant?!| Mm-hmm. You guys come here to watch me win?
  You're a loser.| Ha! I'm not gonna lose! I've got a foolproof plan for winning.  I'm gonna cheat. 
  No one is allowed to exit Wizard Battle!  The doors are shut.  The sky barrier is in place. All of you will kiss the princess or die in battle.| Ooh, I just can't wait to taste that sweet Bubblegum. 
  Over there!|  Oh, yeah.
  Oh, okay.| Yeaah!
  Why isn't the Grand Master Wizard seeing this?| Nun-chucks vanish!  Boo yah!
  Three wizards remain. Time to get real. I wanna see some crazy wiz biz!| Wiz biz! Wiz biz! Oh, I can almost taste those sweet lips. 
   Quick, listen! Now's the time for you to help me. | Hey, guys. Guys? What are you whispering? Come on! I gotta a surprise for yous fools.
 Other| Yeah. That's right. Just a little closer.  Ooh, what's in here? In my little sleevey hole? 
   Watch out, man.| Whoo!
  You got this, Danny boy!| My nun-chucks! Nooo!!
  Yes!  I did it! I really did it. I'm a true wizard.| I have powers too, you butts! Yahh! Ice sword!  Ice Shield! 
  Abracadaniel! | Wha? What you say?  B'oh! 
  So fly.|"  How 'bout me? Put me on the grid, scale of one to ten. One is ""totally gross,"" ten is like, ""Dang, Ice King. You look crazy sick."""
  Ice King is the hottest hottie, and I can't wait— |" ""—to marry him!"" said Fionna. Then she turned to Prince Gumball and said, ""I hope Ice King will sweep me off my feet and take me to the farthest corner of Ooo, where we will do nothing but kiss and eat a whole bunch until we get fat and die."" The end. So, what do you think of the fanfiction I wrote about you guys?"
  Uh...|  Tell me you thought it was good!
  Ice King, this the last time you steal our sandwiches!| You don't understand! If you were me, you would do things I would do!
  Yeah, and if you were us, you'd kick your fat butt!| I ... yeah, I would... but I wouldn't get past my invincible armor!
  Yaah! |  Not a scratch, boys! Not a scratch! It's my time to shine!
  | Fools! Fools! You're wasting your ti-yime!
 Other|  In-ice-able vince armor...
  Yeah!| Aah! You can have the sandwiches back! I'm sorry! Help!
  Bye-bye.| Boy, those sandwiches look really cool!  It looks like it'd be really awesome to try a bite of one of those  ... right on, right on.
  Yup.| You know ... maybe we could all learn a thing or two from those sandwiches.
  Wenk. | Gunther? Hey, Gunther. Get-get away from the camera, sweetie. Papa's recording his innermost thoughts. 'Member? I explained this to you?  Hey, Gunther?  GUNTHER!!!
  Wenk.|  Well, anyway, as you can see, I'm not wearing my—
  Wenk.|  I'm not wearing my—
  Wenk wenk.| Sweetie, I raised my voice because you were giving me the silent treatment. You understand?
