input|output
  That's good enough for me. Now bite me!!|  Yes! I can feel the multiple bites accelerating the lumpification process! I'm starting to float!
  Don't jump, guy!!| I have to! For my buddy.  RAAAAAAGH!!!!
  Wow. He's insane.| Ah, I made it! And there he is!
  Yeah! Promcoming! Yeah! Cool!| Jake! I'm mostly lumpy now! And I totally think you should sit on this sphere!
  No!| Sit on it!
   No!!| Please, Jake! You're my best friend! Just sit on the sphere!
  Chyah! I remember you! You're just a smoothie wannabe lumpy poser!| Sit on it!! Before I turn completely lumpy!!
  NO!!| Oh, no! I can feel the lumpiness... about to consume me!!  Oh, yah. Being lumpy's the best.
  Hey. Stop talkin' to yourself, dumb guy. Take your ball and get outta here.| Fine. I don't want you to have it anyway.
  So I can't have it now, eh?| That's right. It's mine.
  GIMME THAT BALL!!| NO! You can't have it!
  I want it! Give it to me!| You want it that bad? Go get it, then!
  Bumps, bi—   Oh, I'm not lumpy anymore! Oh, no. Finn buddy! You gotta sit on this!| No! You can't make me! Smooth—OOF! 
  Finn! Hey, Finn! Hey, buddy! Finn|  Huh?
  Hey, dude. We made it.| Man... There's something cold under my butt.  Oh!  The antidote! Just in time, too! LSP, I'm sorry I blew up at you before. I didn't mean it. I was just really stressed out.
  You know, it's fine. You and Jake can make it up to me by dancing this last dance with me.| Sounds good to me. Whaddaya say, Jake?
  Oh, no, our sled's broken! Hey, let's build one out of snow! | What are you doing, Jake?
  Sleds are for suckers. Just ride on my gut.| Okay! 
  Switch!|  Switch back! Switch back! 
   Switch back! Switch back! | Penguins!
  Penguins!| Ha Ha!
 Other| Aww, Ice King's here.
"  Yeah, I know what ""Ice King"" means"| Oh ho oh! Holy cow!
  Come on, brother! We're just trying to beat the heat.| Yeah! There's a big sleeping lava man in our front yard, and he is SOOOOOOOOOOOO hot!
  Mmm-hmm!|" Wait, wait, no, I take it back. I mean, not like ""sexy"" hot."
"  No, no, you do mean ""sexy"" hot."| No, I mean--
 Other|  Why don't you just try being cool.
  Uh oh.| 
 Other| Heh heh, yeah.
  Finn! Are you okay?| Huh, Wildberry Princess? Hot Dog Princess? W-what's goin' on?
  We're all prisoners, Finn.| Ice King!
 Other| Why are you keeping these girls prisoners, jerk?
 Other| Ice King, don't do this. Just let the girls go. They don't want to be here.
  Mm-hm.|  Don't worry, princesses. I pledge that Jake and I will protect each and everyone of you and furthermore I see all of you happily married to whatever sweet thing y'all want to be married to!
 Other|Rad! All I need is something to spear the Ice King with.  Binoculars... toothbrush...water bottle...rope...  sweater... trail mix... my flute! 
 Rad! All I need is something to spear the Ice King with.  Binoculars... toothbrush...water bottle...rope...  sweater... trail mix... my flute! | My flute!
  Aw, nuts, dude! You broke it when we tried picking the lock to that sad ogre's heart!| Darn it!
 Other| Jake!
   I... I'm okay.| Ice King! You better either set us free or come in here and fight me 'cause otherwise I'm gonna flip out!!!
 Other| ICE KING!!!...
  Finn!| Huh? Jake, you alright?
  I'm fine, buddy. Calm down and tend to the princesses.| Oh my gosh. I'm sorry, princesses. Slime Princess, are you alright?
  He's held us here for weeks, questioning us about our favorite sports and quirky behavior. I've tried to tell him as little as possible.| I understand. And, Lumpy Space Princess, how do you fair?
 Other| Leave her alone, Ice King!
  What are you thinking, Finn?| I've almost devised a plan. I'm gonna let him drum till' I've finalized the details in my mind.
 Other| Ah! It was fun! Hey, you should get some more fun stuff.
 Other|" ""Good idea,"" indeed."
 Other|" Alright. I've got a plan on how to get out of here. First everyone needs to be dancing and laughing and saying fun stuff like ""Whoopee""! Okay, when the Ice King comes back, everyone play it up, like we want him to come inside the jail and party with us and when he steps inside, I'm gonna beat the tar out of him with these...  ...while you all take care of Jake. Everyone on board with this?"
"  I think by everyone saying ""whoopee"" the plan won't work cause he'll know we're faking it."| Good point, Lumpy Space Princess.
 Other| We're having fun! Whoopee!
 Other|  He's not buying it. Dance harder.
  Come on in here and party.| Wanna dance with us, Ice King? Come on!
 Other| No! That is not the case! You're nuts, man! And I don't know how to help you! Probably because I'm just a simple dude. So maybe you should talk to someone with more life experience, like Jake!
  Whoa, whoa, whoa, Finn, what are you doing? Don't dump the Ice King on me!| But you gotta get it in you're head, man! Putting princesses in jail is wrong!
  Thank you, Finn.|  You're welcome, Slime Princess!
  And remember when you vowed to marry us to the thing of our choosing?| Yeah...
  Ooooh!|  Oh, heh heh, well how 'bout that... Jake, help me!
  Oh, gross! Put me down! Put me down!!!| Heh heh, I'm sorry. Jake! 
  Now, come on over! I baked y'all an apple pie.| Yeah, apple pie!
  Whooo-hoo-hoo!| I'm gonna eat it all before you even GET there! 
  Noooooo!| Apple pie!
  Shoo, fly! Get off my apple pie! Huh!  A fly landed on my pie. That's no good.  Bye-bye.| Why are you throwing the pie away?
  New pie?| Woohoo! Pie, yeah!
  Here you are.| Wow.
  Oh, Jake, thank you, but that ain't the best apple pie.| What are you talking about, Tree Trunks? What can be better than your apple pie?
  Finn, what would you do if you could do anything?| Anything? Well, I'd catch a shooting star, travel to outer space and fight space monsters!
  I'd carve my face on the moon so the moon would look like my face!| What would you do, Tree Trunks?
  I would go pick an apple.| ...Lame.
  ...Lame.| I'm sorry. I mean, it's just you pick apples every day.
  That sounds awesome!| Where is it?
  I've heard that it grows at the deepest end of the Evil Dark Forest.| Whoo! Tree Trunks you gotta go pick that apple!
  What? Me? Oh, no I'm just a cute little elephant. I'm not cut out for adventuring.| Tree Trunks! This is your dream! Think about eating that apple with your own mouth.
  Or your trunk.| Imagine the flavor.
  Really? You think I can handle the Scary Dark Forest?| Yeah, and we'll help you.
  Psst, I can take you even higher on my shoulders.| No, Jake. She has a weak heart.
  Oh, yeah.| Ewww, why is this ground all squishy?
  I wanna try!| Okay. I'm cool with you letting you do whatever you want.
  Oh, hello there.| Uhh, Tree Trunks, stay away from that.
  Uhh, Tree Trunks, stay away from that.| Ugh, you're gonna get it, wall of flesh.
  An eye and a mouth. Well, I think I got the perfect thing for him or her... stickers!| Careful, Tree Trunks, this thing is evil.
  Oh, now, whatcha doing?| Huh? Tree Trunks!
  Whoo!| You better stay in that tree, baby. Um, Tree Trunks were you putting stickers on that evil monster?
  Yes, I thought it needed some tender love and affection. Oh, what a pretty butterfly!| Tree Trunks? Ugh. Jake, I just realized that Tree Trunks is old and bonkers. We can't take her through this Evil Dark Forest.
  Nah, she'll be fine.| But the monsters?
  It's fine. It's fine!| Are you sure? 'Cause she has zero adventurer training.
  Yeah, yeah, yeah, yeah, yeah, it's fine, she'll be fine, it's fine, it's fine, it's fine.|  Maybe it is fine. Tree Trunks?
  Where'd she go?| Tree Trunks!
  Tree Trunks!| We gotta find her, Jake! Tree Trunks!
  And here's your sandwich. Oops, you dropped it.| Tree Trunks, run!
  Hiya!| Time to call your mamas, evil sign posts.
  Patience, boys. There's enough tea for everyone.| Errr...
  Oh, Finn. What a nice hug.| I'm not hugging you! I'm trying to save your life! There's too many!!
  Oh, Finn. That tea party was crummier than a big old biscuit.| Errrr. Tree Trunks, I'm all jacked up because of you. Look at my jacked up face!
  Are you mad at me?| No, I'm not mad. You're too super-cute for me to be mad at you, and you're a top notch adventurer. Now, let's go find and eat the heck out of that crystal gem apple together.
  No, I'm not mad. You're too super-cute for me to be mad at you, and you're a top notch adventurer. Now, let's go find and eat the heck out of that crystal gem apple together.| Dang it!
  You go fight—I'll keep Tree Trunks out of trouble.| Awesome.
  I'm helping you by tempting this guy with my body.| It's not a guy, Tree Trunks! It's a Snake Armed Ruby Brain Beast!
  Even brain beasts get lonely, Finn!| Jake! You were supposed to watch her!
  She got passed me, man. I tried to stop her, but she overpowered me.| GET her out of here!
  Finn, kill it!| I can't find it's magic gem weak spot!
  I can't find it's magic gem weak spot!| Oh, there it is.
  I did it! I helped! I'm the sexiest adventurer in the world!| Tree Trunks!! You're not an adventurer! You nearly got yourself killed again! Do you wanna die, Tree Trunks?! Is that what you think adventurers do?! Die and make all their friends feel terrible 'cause they couldn't save them?!
  I'm going home now.| Ugh... Tree Trunks. Tree Trunks!
  Don't follow me. Oh, Finn... You shouldn't yell at cuties that just wanna help you. OH!| Man, I feel horrible. I was only yelling because I care about her safety.
  Finn, I found the crystal gem apple.| Woohoo!
  You're the man, Tree Trunks!| Tree Trunks, I'm a huge butt guy for getting mad at you. I'm a huge fart. I was only upset because... I love you and I don't wanna see you get hurt.
  That's precious, Finn, and I'll accept your apology if you let me kiss your cheek.| Uhhhh, I don't know, I--
  Uhhhh, I don't know...| A crystal guardian! Tree Trunks, stay out of the monster battle this time. I don't want you getting hurt.
  Alright, I promise I will.| Radical! Back off you!
  Back off you!| Stop copying me! Grrah!
  Stop copying me! Grrah!| Ahhhh! A-a-oww..
  Ow! Ow.| He's copying everything we do.
  Whoo! Shake it, Tree Trunks!| Gem-clam! Let's beat it up while it's copying Tree Trunks! Yaah!
  Crud, this is barf dude.| Oh, man, I'm a total moron! We gotta fight this one Tree Trunks style.
  I'll get the make up.| Hey! Crystal Guardian, are you okay with Tree Trunks taking a bite of that apple?
  Okay!| Whoo! How's it taste, Tree Trunks?
  Please! Calm yourselves, my people. I am safe! Oh, thank you, Finn. You truly are my hero this day.| Cool.
   Hero... Hmmm... Heeeeerroooo... Hey, I just thought of something!| Uhh... What'd you think of?
   Math. Hurry, Finn!|  No way!
   Here it is. Check it out.| A magical globe?
  No, Finn. It's what you can see through the globe.| Golly!
   Look. See this book?| Yeah, I see it!
  It's called the Enchiridion. It's a book meant only for heroes whose hearts are righteous.| Shmow-zow!
  The book lies at the top of Mount Cragdor, guarded by a manly minotaur. It's waiting for a truly righteous hero to claim it!| Do you think I've got the goods, Bubblegum? 'Cause I am in to this stuff!
  Yeah, I know. And yes, I do.| Then off I go!
  Then off I go!| Jaaaaaaaaake!
  Jaaaaaaaaake!| Thanks, pal.
   Farewell, Fi—Oh, wait a minute...  Farewell, Finn the human boy!| Bye, Princess!  You know what time it is, buddy?
  Aaaaadventure time?| Yeah, man!
  Oh ho! You've unlocked the riddle of the door.  Brilliantly done, child! Please, reveal to me how you unraveled my clue.| I just thought you'd look cute stuffed in that lock.
  Oh, yes. That's how most people get in.| Bye!
   Enchiridion is...  That way.| What?! Dude! You can't smell the book from here!
  It's in the castle on top of the mountain.  In a room.  Wish you had one, huh?|  This way!
  What about the book?| It can wait. Someone needs our help.
  Yo, Finn. Are you alright? Did you get brain damage?| I'm fine! Keep going! We have to hurry!
  I'm fine! Keep going! We have to hurry!| I gotcha.
  La la la-la!| What?!
"  Every time you say ""what"" we'll destroy an old lady."|  What?!
"  Every time you say ""no"" we'll destroy an old lady."|  No! Wai...
   No! Wai...| Please...
  Please...| Don't destroy...
  Don't destroy...| Anymore...
  Anymore...| Old women.
  Hey, Finn. You okay?| No way, dude. Those old ladies are destroyed because of me. I'm not righteous. I'm wrongteous. Stupidteous.
  Awww. Don't let those gnomes and their illusions get you down. They're just gnomes and illusions.| Illusions?
  Yeah, man. Think. What would regular, old, sweet ladies be doing wandering the hills of Mount Cragdor?| Maybe they're lost?
   No way. This place is designed to mess you up. To mess with your head. None of this is real. It's all just trials to test your heroic attributes.| Hmmm... Hmmm!
  Now let's go get that book.| Yeah! You're the smartest dog I know, man.
  Yeah! You're the smartest dog I know, man.| Jake? Jaaaaaaaake!
  You cannot pass!| Gimme back my friend!
   It's ok, Finn! I can get out!| Let Jake go, or I'll...  I'll kick your foot!
   Don't worry, dude! I found another way—oof!| Huh?  I'm coming, buddy!
   I think your dog finally fell into my stomach. Hey... Where'd you go?|  I got your wallet, man!
  No! My big money! Give it back!| Give me back my friend!
  But I killed him already!|  Fine.  I'll give you your dollar.  Here's your dollaaaaaarrrrr!
  Whoa. Whoa. Whoa. Whoa-oa!|  Jake!  You're okay!
   You're under arrest for stealing my dollar! | Just a minute, Jake.
  You know what that was? That was righteous.| Thanks, Jake. Now sniff out that book for me.
  Congratulations, Finn the human. You must be truly righteous to have made it this far.| Thank you.
  Now! Enter my brain-world, and I will show you some aspect of yourself that you're not entirely aware of.| Where... am I?
   For your final trial, slay the beast!| Why? Is it an evil beast?
  Yeeeeessss. It's completely evil. Will you slay it?| Shoot, yeah. I'll slay anything that's evil. That's my deal.
  Yeeeeessss! You've done well, hero.| Thank you.
  Now! As one last, last trial... Slay this ant!| Is it evil?
  No! But it's not good either. It's, uh, neutral. Will you slay it?|  No!
  If you want the heroes' Enchiridion, then slay this unaligned ant!| Never. Never. Never!
   Congratulations, Finn the human. Now you have truly reached...| Never!
  Ooh!| Oh, no! Mr. Key-per! I-I'm sorry. Why are you wearing that little devil costume?
   Finn... Jake... You made it!| Are you another trial?
  Trial? Oh, no!  I'm Mannish Man, the minotaur.|  The manly minotaur from Princess Bubblegum's story!
   The manly minotaur from Princess Bubblegum's story!| So, can I check out the Enchiridion? Can I? Can I? Can I?
  We've been watching you guys on our magical viewing globe. Take a seat guys, have some juice. There's grape and apple and the gatekeeper made spaghetti. And... Alright, Finn. Are you ready for this?| The Enchiridion!
   You deserve it, Finn.| Really?
   Hey! Crack open that book and read something for fun's sake, alright?| Oh, yeah.  Whoa. How to Kiss Princesses? 
   Hey. Don't tell her, Finn.| It doesn't say anything, Princess.
   Mannish Man!|  Awwww... Yeah!
  Ooo!|  I know what you need.
  What's that?|  You want your little baby socks, for your little baby feet.
  Woo!|  Baby!
  Yeah?|  I know what you crave.
  Oh, yeah? What's that?|  You want to poop your pants all day long. Well, baby behave!
  Hey, how can you sing like that, dude?| Remember when I swallowed that little computer?
  Oh, yeah.| Alright, Stanley. You and your family are safe... Again...
  W-whoa!| What the... Shmow-zow! Look at that!
  That... is the most adorable thing I have ever seen. And he loves your baby song. Sing some more of it, dude.| Alright.  Baby! You lookin' so good. You lookin' like you might... want some baby food.
  Keep it going, man! |  Baby! You lookin' so fine. You lookin' like you might... just start cryin'.
   Yeah!| Dude! This guy... is a pal for life! It looks like he's got two jiggly bellies stuck together.
  Whoa!|  He's the Jiggler.
   He's the Jiggler.|  You are the best thing ever. Let's take the Jiggler back to the house and just stick him by our bed so we can wake up...
  Next to a little dancing guy every morning!|  I gotta tuck you in, girl. I gotta sing you sweet melodies about babies. Yeah!
  Little baby feet!|  Welcome to your new home. Feast your eyes on... everything!
  What are you doing?| Splitting my toothbrush in half, so he can use half.
  Splitting my toothbrush in half, so he can use half.|  Here you go. It's for your teeth.
   Here you go. It's for your teeth.|  Like this.
   Like this.| Yeah! You got it.
  Enough hygiene.  Let's get to it!| Yeah! Toothbrush dance.  This is cool!
   Dance... dance...  dance...  I'm not tired! How about you, Jake?|  Maybe we should go upstairs.
   Maybe we should go upstairs.|  You can have the comfiest spot on the bed. Goodnight. 
   Mornin'.| Are you ready to get down?  Let's get this party started!
   Yeah, ok.| Where's the little guy?
   Over there.| Hey, pal. You ready to cut loose? Wake and shake, buddy. Let's do this thing! 
  Slam-a-cow! That fool looks rumped.| What do you mean?
  Well, look at him. He's all limp... and weird.| Aww... I bet he just needs some breakfast after a night of extraordinary jiggling. Hey! Let's combine everything we can find in the kitchen... and have the Jiggler drink it! That'll wake him up! And then we can... Get  doooowwwn!
  He doesn't want to drink that goop, man.| Then let's just give him some, uh... purple whatevers.
  You mean the grapes?| Yeah. Whatever.
  Yeah. Whatever.| Hey! I think he's diggin' it!
  | Uhh...
   Uh, you think we... think we fed the wrong hole?| Nah. He just doesn't like purple whatevers. What we need to do is figure out what he likes to eat.
  Nah. He just doesn't like purple whatevers. What we need to do is figure out what he likes to eat.|  Here, Jiggler. What kind of food do you like? Meat? Some banana? This looks like corn... I think. Uh... hot dog. Stanley the watermelon.
   Here, Jiggler. What kind of food do you like? Meat? Some banana? This looks like corn... I think. Uh... hot dog. Stanley the watermelon.|  Look! Jake! He likes it!
   Look! Jake! He likes it!|  Wow!
  No way!| His favorite food... is drawings! Awesome!
  Holy fig, that's awesome! What food are you drawing now?| I'm drawing a picture of you.
   Well, don't feed it me!|  Come on. Eat him up, Jiggler!
   Ahhh! Keep it away! Shoo! Shoo! |  Alright. Alright. I got it. Calm down... I'll eat it.  Ahhhhh.
   Dude! You eating me is just as bad as the Jiggler eating me.| Well... You gonna eat yourself, tough guy?
  | Ok. Alright. Now, let's get back to some jiggling!
  Whoa!|  Jiggler?
  What the heck? What's wrong with him?| Uh... There's nothing wrong with him. We just gotta plug up his holes.
  Uh... There's nothing wrong with him. We just gotta plug up his holes.| See? That worked. Ready to jiggle again, little guy?
  See? That worked. Ready to jiggle again, little guy?| Whoa!
  Oh, man...|  Quick! We gotta plug those holes!
   Quick! We gotta plug those holes!| Jake, hurry!
  All I could find was your glass eye collection!| What about your eyepatch collection?
  Aw, man. They're in mint condition.| Jake!
  One... more... patch!  Finished. Ugh. He looks terrible. Finn, I know you don't want to hear this, but I think we should cut our losses and bring this fella back to where we found him.| We can't just abandon him. Look at him, Jake. He needs us now more than ever.  Just need to take better care of you from now on, right little guy?
  We can't just abandon him. Look at him, Jake. He needs us now more than ever.  Just need to take better care of you from now on, right little guy?| Jiggler!
  Oh... Finn. Ok... Our pet exploded.| 
  Maybe we can... scrape him up! And... eyuhh...|  Oh, holy moly! Don't worry, Jiggler. We'll fix you. 
   Oh, holy moly! Don't worry, Jiggler. We'll fix you. | Let's gather him up, Jake. He's all over the place... even between the floorboards!
  And the cupboards!| And the galoshes!
  Hey!| Come on. Let's put him back together.
  Ok.| Squeeze real hard. He's slipping!
  Sheesh. You think he's dead?| No way! I won't let you die, guy! Not this time.
  Finn. Stop it, man. What are you doing?| I'm kissing him! What do you think? It's all I could think to do.
  I think he's trying to tell us something. Finn, this looks like it could be his Mama Jiggler| We took this child away from its mama, Jake. We're kidnappers and murderers! I just wanted to have fun and jiggle!
  Look... Chill out, ok? We can fix this. Check it out.  His mom looks like she's out by Stanley's house... where we found the Jiggler. If we get him back to her, she'll be able to fix him up!|  Then there's no time to spare.
   Then there's no time to spare.|  Shhh. Just hold on a little longer, buddy.
  Did you hear that? Whistling!| Perpendicular! It's the mama!
  Look! The little guy wants to go home!|  Well. This is it, buddy.
